@relation processindexfeat-weka.filters.unsupervised.attribute.Remove-R3

@attribute AfterNextPOS numeric
@attribute BeforeLastPOS numeric
@attribute LastWordForm numeric
@attribute LastWordPOS numeric
@attribute NextWordForm numeric
@attribute NextWordPOS numeric
@attribute SentenceLength numeric
@attribute WordForm numeric
@attribute WordPOS numeric
@attribute ProcessPercentage numeric

@data
2,14,1914,17,0,6,26,1338,28,0.923077
24,17,1338,28,23,2,26,0,6,0.615385
6,28,0,6,54,24,26,23,2,0.807692
6,6,23,2,0,6,26,54,24,0.730769
12,2,54,24,9589,6,26,0,6,0.692308
2,24,0,6,13921,12,26,9589,6,0.653846
5,6,9589,6,23,2,26,13921,12,0.769231
20,6,13921,12,32165,5,26,23,2,0.884615
47,12,23,2,43,20,26,32165,5,0.846154
49,2,32165,5,44373,47,26,43,20,0.961538
12,48,1,1,4232,26,35,2726,2,0.114286
17,1,2726,2,6663,12,35,4232,26,0.028571
11,2,4232,26,231,17,35,6663,12,0.085714
29,26,6663,12,1699,11,35,231,17,0.057143
2,12,231,17,280,29,35,1699,11,0.4
3,17,1699,11,282,2,35,280,29,0.142857
6,11,280,29,94,3,35,282,2,0.171429
2,29,282,2,67,6,35,94,3,0.2
14,2,94,3,596,2,35,67,6,0.228571
3,3,67,6,26,14,35,596,2,0.257143
37,6,596,2,21,3,35,26,14,0.371429
12,2,26,14,1545,37,35,21,3,0.314286
13,14,21,3,3988,12,35,1545,37,0.285714
2,3,1545,37,2103,13,35,3988,12,0.342857
6,37,3988,12,23,2,35,2103,13,1
9,12,2103,13,275,6,35,23,2,0.942857
4,13,23,2,14,9,35,275,6,0.514286
4,2,275,6,505,4,35,14,9,0.428571
4,6,14,9,2535,4,35,505,4,0.485714
2,9,505,4,4645,4,35,2535,4,0.457143
4,4,2535,4,7,2,35,4645,4,0.914286
14,4,4645,4,12885,4,35,7,2,0.885714
3,4,7,2,26,14,35,12885,4,0.857143
6,2,12885,4,94,3,35,26,14,0.542857
26,4,26,14,10081,6,35,94,3,0.571429
19,14,94,3,400,26,35,10081,6,0.828571
25,3,10081,6,40,19,35,400,26,0.8
26,6,400,26,4390,25,35,40,19,0.6
6,26,40,19,96,26,35,4390,25,0.771429
19,19,4390,25,1040,6,35,96,26,0.628571
3,25,96,26,40,19,35,1040,6,0.657143
6,26,1040,6,21,3,35,40,19,0.742857
20,6,40,19,573,6,35,21,3,0.685714
47,19,21,3,43,20,35,573,6,0.714286
49,3,573,6,44373,47,35,43,20,0.971429
6,48,1,1,0,4,12,103,3,0.166667
17,1,103,3,0,6,12,0,4,0.083333
14,3,0,4,51,17,12,0,6,0.25
7,4,0,6,26,14,12,51,17,1
3,6,51,17,8,7,12,26,14,0.333333
21,17,26,14,993,3,12,8,7,0.416667
3,14,8,7,317,21,12,993,3,0.75
26,7,993,3,3,3,12,317,21,0.666667
6,3,317,21,548,26,12,3,3,0.583333
20,21,3,3,2094,6,12,548,26,0.5
47,3,548,26,43,20,12,2094,6,0.833333
49,26,2094,6,44373,47,12,43,20,0.916667
28,48,1,1,1537,13,16,1217,23,0.125
2,1,1217,23,3475,28,16,1537,13,0.0625
12,23,1537,13,59,2,16,3475,28,1
2,13,3475,28,547,12,16,59,2,0.25
2,28,59,2,596,2,16,547,12,0.1875
6,2,547,12,864,2,16,596,2,0.4375
17,12,596,2,5136,6,16,864,2,0.375
2,2,864,2,5720,17,16,5136,6,0.3125
6,2,5136,6,7,2,16,5720,17,0.625
28,6,5720,17,26422,6,16,7,2,0.5625
3,17,7,2,929,28,16,26422,6,0.5
26,2,26422,6,203,3,16,929,28,0.875
12,6,929,28,14200,26,16,203,3,0.75
20,28,203,3,5008,12,16,14200,26,0.6875
47,3,14200,26,43,20,16,5008,12,0.8125
49,26,5008,12,44373,47,16,43,20,0.9375
3,48,1,1,317,21,10,1495,41,0.1
6,1,1495,41,709,3,10,317,21,1
2,41,317,21,26422,6,10,709,3,0.2
24,21,709,3,23,2,10,26422,6,0.3
12,3,26422,6,2722,24,10,23,2,0.6
18,6,23,2,119,12,10,2722,24,0.4
20,2,2722,24,625,18,10,119,12,0.5
8,24,119,12,43,20,10,625,18,0.7
47,12,625,18,11,8,10,43,20,0.8
49,18,43,20,44373,47,10,11,8,0.9
15,48,1,1,0,4,21,14798,3,0.047619
3,1,14798,3,968,15,21,0,4,1
12,3,0,4,21,3,21,968,15,0.095238
31,4,968,15,1271,12,21,21,3,0.142857
17,15,21,3,261,31,21,1271,12,0.904762
3,3,1271,12,8389,17,21,261,31,0.190476
12,12,261,31,21,3,21,8389,17,0.857143
17,31,8389,17,1361,12,21,21,3,0.238095
26,17,21,3,231,17,21,1361,12,0.333333
2,3,1361,12,7765,26,21,231,17,0.285714
3,12,231,17,7,2,21,7765,26,0.809524
6,17,7765,26,203,3,21,7,2,0.761905
2,26,7,2,348,6,21,203,3,0.380952
12,2,203,3,146,2,21,348,6,0.714286
2,3,348,6,9626,12,21,146,2,0.666667
3,6,146,2,7,2,21,9626,12,0.619048
4,2,9626,12,21,3,21,7,2,0.571429
12,12,7,2,14801,4,21,21,3,0.47619
20,2,21,3,9596,12,21,14801,4,0.428571
47,3,14801,4,43,20,21,9596,12,0.52381
49,4,9596,12,44373,47,21,43,20,0.952381
13,48,1,1,1217,23,25,8,7,0.56
3,1,8,7,321,13,25,1217,23,0.04
26,7,1217,23,709,3,25,321,13,0.52
6,23,321,13,3701,26,25,709,3,0.12
2,13,709,3,130,6,25,3701,26,0.08
2,3,3701,26,146,2,25,130,6,0.4
12,26,130,6,2127,2,25,146,2,0.36
13,6,146,2,9873,12,25,2127,2,0.2
2,2,2127,2,121,13,25,9873,12,0.16
6,2,9873,12,12,2,25,121,13,0.32
14,12,121,13,2749,6,25,12,2,0.28
8,13,12,2,26,14,25,2749,6,0.24
17,2,2749,6,11,8,25,26,14,0.48
4,6,26,14,51,17,25,11,8,0.44
4,14,11,8,1934,4,25,51,17,1
4,8,51,17,1729,4,25,1934,4,0.64
2,17,1934,4,0,4,25,1729,4,0.6
4,4,1729,4,7,2,25,0,4,0.92
9,4,0,4,4397,4,25,7,2,0.88
4,4,7,2,14,9,25,4397,4,0.8
4,2,4397,4,0,4,25,14,9,0.68
4,4,14,9,10976,4,25,0,4,0.76
20,9,0,4,2683,4,25,10976,4,0.72
47,4,10976,4,43,20,25,2683,4,0.84
49,4,2683,4,44373,47,25,43,20,0.96
17,48,1,1,0,4,23,2852,4,0.043478
3,1,2852,4,1556,17,23,0,4,0.086957
6,4,0,4,94,3,23,1556,17,1
2,4,1556,17,2022,6,23,94,3,0.130435
12,17,94,3,7,2,23,2022,6,0.913043
2,3,2022,6,1271,12,23,7,2,0.869565
3,6,7,2,92,2,23,1271,12,0.826087
4,2,1271,12,21,3,23,92,2,0.782609
4,12,92,2,1625,4,23,21,3,0.26087
4,2,21,3,10976,4,23,1625,4,0.217391
15,3,1625,4,2683,4,23,10976,4,0.173913
3,4,10976,4,73,15,23,2683,4,0.73913
26,4,2683,4,21,3,23,73,15,0.304348
12,4,73,15,2850,26,23,21,3,0.391304
2,15,21,3,10219,12,23,2850,26,0.347826
4,3,2850,26,7,2,23,10219,12,0.695652
4,26,10219,12,9676,4,23,7,2,0.652174
15,12,7,2,1383,4,23,9676,4,0.434783
4,2,9676,4,73,15,23,1383,4,0.608696
4,4,1383,4,4397,4,23,73,15,0.478261
20,4,73,15,1383,4,23,4397,4,0.521739
47,15,4397,4,43,20,23,1383,4,0.565217
49,4,1383,4,44373,47,23,43,20,0.956522
6,48,1,1,0,4,34,9,3,0.058824
17,1,9,3,3185,6,34,0,4,0.029412
6,3,0,4,51,17,34,3185,6,0.088235
17,4,3185,6,26422,6,34,51,17,1
11,6,51,17,37,17,34,26422,6,0.147059
2,17,26422,6,1423,11,34,37,17,0.117647
7,6,37,17,23,2,34,1423,11,0.941176
18,17,1423,11,8,7,34,23,2,0.617647
26,11,23,2,604,18,34,8,7,0.235294
12,2,8,7,3075,26,34,604,18,0.176471
8,7,604,18,2318,12,34,3075,26,0.205882
2,18,3075,26,11,8,34,2318,12,0.588235
28,26,2318,12,23,2,34,11,8,0.264706
6,12,11,8,1331,28,34,23,2,0.558824
2,8,23,2,4236,6,34,1331,28,0.529412
3,2,1331,28,80,2,34,4236,6,0.382353
12,28,4236,6,21,3,34,80,2,0.352941
2,6,80,2,13921,12,34,21,3,0.294118
3,2,21,3,23,2,34,13921,12,0.323529
26,3,13921,12,21,3,34,23,2,0.5
5,12,23,2,288,26,34,21,3,0.441176
15,2,21,3,9587,5,34,288,26,0.411765
11,3,288,26,73,15,34,9587,5,0.470588
2,26,9587,5,7219,11,34,73,15,0.647059
3,5,73,15,462,2,34,7219,11,0.911765
26,15,7219,11,94,3,34,462,2,0.882353
6,11,462,2,1786,26,34,94,3,0.705882
2,2,94,3,1431,6,34,1786,26,0.676471
6,3,1786,26,7,2,34,1431,6,0.852941
2,26,1431,6,0,6,34,7,2,0.764706
5,6,7,2,23,2,34,0,6,0.735294
20,2,0,6,32165,5,34,23,2,0.823529
47,6,23,2,43,20,34,32165,5,0.794118
49,2,32165,5,44373,47,34,43,20,0.970588
19,48,1,1,10179,5,19,8515,2,0.684211
5,1,8515,2,40,19,19,10179,5,0.052632
14,2,10179,5,2197,5,19,40,19,0.157895
5,5,40,19,26,14,19,2197,5,0.105263
5,19,2197,5,12598,5,19,26,14,0.631579
4,5,26,14,412,5,19,12598,5,0.210526
12,14,12598,5,14801,4,19,412,5,0.315789
2,5,412,5,9596,12,19,14801,4,0.263158
3,5,14801,4,462,2,19,9596,12,0.578947
12,4,9596,12,21,3,19,462,2,0.473684
17,12,462,2,13921,12,19,21,3,0.368421
11,2,21,3,231,17,19,13921,12,0.421053
14,3,13921,12,68,11,19,231,17,0.526316
3,12,231,17,26,14,19,68,11,0.894737
6,17,68,11,21,3,19,26,14,0.842105
17,11,26,14,141,6,19,21,3,0.736842
20,14,21,3,51,17,19,141,6,0.789474
47,3,141,6,43,20,19,51,17,1
49,6,51,17,44373,47,19,43,20,0.947368
12,48,1,1,8787,5,22,3318,2,0.545455
31,1,3318,2,2072,12,22,8787,5,0.045455
17,2,8787,5,261,31,22,2072,12,0.363636
18,5,2072,12,2102,17,22,261,31,0.090909
2,12,261,31,310,18,22,2102,17,0.318182
3,31,2102,17,462,2,22,310,18,0.136364
6,17,310,18,21,3,22,462,2,0.272727
14,18,462,2,7430,6,22,21,3,0.181818
5,2,21,3,26,14,22,7430,6,0.227273
13,3,7430,6,5615,5,22,26,14,0.5
11,6,26,14,321,13,22,5615,5,0.454545
30,14,5615,5,6242,11,22,321,13,0.409091
26,5,321,13,197,30,22,6242,11,1
2,13,6242,11,280,26,22,197,30,0.590909
5,11,197,30,282,2,22,280,26,0.727273
12,30,280,26,2159,5,22,282,2,0.681818
3,26,282,2,1248,12,22,2159,5,0.636364
11,2,2159,5,21,3,22,1248,12,0.863636
6,5,1248,12,436,11,22,21,3,0.818182
20,12,21,3,1269,6,22,436,11,0.772727
47,3,436,11,43,20,22,1269,6,0.909091
49,11,1269,6,44373,47,22,43,20,0.954545
3,48,1,1,7,2,17,3916,5,0.352941
5,1,3916,5,21,3,17,7,2,0.294118
28,5,7,2,736,5,17,21,3,0.176471
12,2,21,3,11433,28,17,736,5,0.117647
13,3,736,5,1361,12,17,11433,28,0.058824
26,5,11433,28,321,13,17,1361,12,0.235294
12,28,1361,12,6734,26,17,321,13,1
14,12,321,13,6735,12,17,6734,26,0.411765
28,13,6734,26,26,14,17,6735,12,0.882353
5,26,6735,12,498,28,17,26,14,0.470588
2,12,26,14,2159,5,17,498,28,0.823529
18,14,498,28,462,2,17,2159,5,0.764706
11,28,2159,5,2100,18,17,462,2,0.705882
6,5,462,2,29828,11,17,2100,18,0.529412
20,2,2100,18,11625,6,17,29828,11,0.588235
47,18,29828,11,43,20,17,11625,6,0.647059
49,11,11625,6,44373,47,17,43,20,0.941176
2,48,1,1,2499,6,23,9,3,0.043478
5,1,9,3,7,2,23,2499,6,0.913043
12,3,2499,6,4075,5,23,7,2,0.73913
2,6,7,2,14067,12,23,4075,5,0.086957
26,2,4075,5,92,2,23,14067,12,0.695652
6,5,14067,12,14293,26,23,92,2,0.217391
14,12,92,2,0,6,23,14293,26,0.130435
6,2,14293,26,26,14,23,0,6,0.173913
6,26,0,6,14326,6,23,26,14,0.26087
15,6,26,14,11625,6,23,14326,6,0.304348
6,14,14326,6,73,15,23,11625,6,0.521739
17,6,11625,6,0,6,23,73,15,0.347826
18,6,73,15,37,17,23,0,6,0.391304
33,15,0,6,1585,18,23,37,17,0.478261
2,6,37,17,1715,33,23,1585,18,0.434783
11,17,1585,18,282,2,23,1715,33,0.652174
14,18,1715,33,436,11,23,282,2,0.565217
3,33,282,2,26,14,23,436,11,0.608696
12,2,436,11,21,3,23,26,14,0.869565
17,11,26,14,1271,12,23,21,3,0.782609
20,14,21,3,51,17,23,1271,12,0.826087
47,3,1271,12,43,20,23,51,17,1
49,12,51,17,44373,47,23,43,20,0.956522
6,48,1,1,9,3,22,8,7,0.818182
6,1,8,7,41271,6,22,9,3,0.090909
21,7,9,3,97,6,22,41271,6,0.045455
3,3,41271,6,317,21,22,97,6,0.272727
26,6,97,6,94,3,22,317,21,0.227273
6,6,317,21,8000,26,22,94,3,0.181818
2,21,94,3,3369,6,22,8000,26,0.136364
3,3,8000,26,170,2,22,3369,6,0.772727
2,26,3369,6,292,3,22,170,2,0.636364
23,6,170,2,7,2,22,292,3,0.590909
31,2,292,3,895,23,22,7,2,0.363636
13,3,7,2,261,31,22,895,23,0.318182
26,2,895,23,11005,13,22,261,31,0.409091
12,23,261,31,6734,26,22,11005,13,0.545455
14,31,11005,13,6735,12,22,6734,26,0.454545
8,13,6734,26,26,14,22,6735,12,0.5
17,26,6735,12,11,8,22,26,14,0.727273
4,12,26,14,51,17,22,11,8,0.681818
4,14,11,8,2852,4,22,51,17,1
20,8,51,17,0,4,22,2852,4,0.863636
47,17,2852,4,43,20,22,0,4,0.909091
49,4,0,4,44373,47,22,43,20,0.954545
2,48,1,1,3152,6,36,9,3,0.027778
6,1,9,3,7,2,36,3152,6,0.5
6,3,3152,6,14326,6,36,7,2,0.222222
12,6,7,2,11625,6,36,14326,6,0.083333
2,2,14326,6,14067,12,36,11625,6,0.055556
3,6,11625,6,170,2,36,14067,12,0.194444
12,6,14067,12,21,3,36,170,2,0.166667
2,12,170,2,1361,12,36,21,3,0.111111
3,2,21,3,12,2,36,1361,12,0.138889
4,3,1361,12,21,3,36,12,2,0.472222
4,12,12,2,1074,4,36,21,3,0.416667
14,2,21,3,0,4,36,1074,4,0.388889
4,3,1074,4,26,14,36,0,4,0.25
14,4,0,4,4183,4,36,26,14,0.277778
6,4,26,14,26,14,36,4183,4,0.305556
6,14,4183,4,4236,6,36,26,14,0.333333
21,4,26,14,6648,6,36,4236,6,0.361111
19,14,4236,6,819,21,36,6648,6,0.444444
25,6,6648,6,40,19,36,819,21,0.944444
3,6,819,21,99,25,36,40,19,0.583333
37,21,40,19,21,3,36,99,25,0.555556
2,19,99,25,2715,37,36,21,3,0.527778
3,25,21,3,80,2,36,2715,37,0.861111
6,3,2715,37,203,3,36,80,2,0.833333
12,37,80,2,26422,6,36,203,3,0.638889
11,2,203,3,1361,12,36,26422,6,0.611111
2,3,26422,6,8389,11,36,1361,12,0.805556
26,6,1361,12,23,2,36,8389,11,0.777778
11,12,8389,11,1254,26,36,23,2,0.75
12,11,23,2,8185,11,36,1254,26,0.694444
14,2,1254,26,1212,12,36,8185,11,0.666667
23,26,8185,11,26,14,36,1212,12,0.722222
17,11,1212,12,77,23,36,26,14,0.916667
20,12,26,14,51,17,36,77,23,0.888889
47,14,77,23,43,20,36,51,17,1
49,23,51,17,44373,47,36,43,20,0.972222
14,48,1,1,1273,6,23,9,3,0.043478
32,1,9,3,26,14,23,1273,6,1
21,3,1273,6,271,32,23,26,14,0.086957
11,6,26,14,317,21,23,271,32,0.173913
2,14,271,32,1564,11,23,317,21,0.130435
4,32,317,21,34,2,23,1564,11,0.434783
15,21,1564,11,0,4,23,34,2,0.391304
4,11,34,2,28,15,23,0,4,0.347826
4,2,0,4,0,4,23,28,15,0.217391
14,4,28,15,525,4,23,0,4,0.26087
17,15,0,4,26,14,23,525,4,0.304348
2,4,525,4,37,17,23,26,14,0.478261
6,4,26,14,363,2,23,37,17,0.913043
2,14,37,17,1824,6,23,363,2,0.869565
6,17,363,2,462,2,23,1824,6,0.826087
19,2,1824,6,0,6,23,462,2,0.565217
25,6,462,2,40,19,23,0,6,0.521739
3,2,0,6,159,25,23,40,19,0.608696
6,6,40,19,21,3,23,159,25,0.782609
12,19,159,25,9589,6,23,21,3,0.695652
20,25,21,3,13921,12,23,9589,6,0.652174
47,3,9589,6,43,20,23,13921,12,0.73913
49,6,13921,12,44373,47,23,43,20,0.956522
18,48,1,1,3369,6,42,9,3,0.02381
27,1,9,3,286,18,42,3369,6,0.095238
25,3,3369,6,98,27,42,286,18,0.071429
3,6,286,18,1112,25,42,98,27,0.047619
31,18,98,27,292,3,42,1112,25,0.952381
13,27,1112,25,261,31,42,292,3,0.857143
2,25,292,3,3723,13,42,261,31,0.119048
3,3,261,31,169,2,42,3723,13,0.833333
4,31,3723,13,21,3,42,169,2,0.214286
27,13,169,2,55,4,42,21,3,0.142857
25,2,21,3,395,27,42,55,4,0.190476
3,3,55,4,16509,25,42,395,27,0.166667
6,4,395,27,21,3,42,16509,25,0.809524
2,27,16509,25,5229,6,42,21,3,0.238095
6,25,21,3,7,2,42,5229,6,0.785714
28,3,5229,6,26422,6,42,7,2,0.285714
6,6,7,2,498,28,42,26422,6,0.261905
29,2,26422,6,0,6,42,498,28,0.333333
18,6,498,28,280,29,42,0,6,0.309524
2,28,0,6,0,18,42,280,29,0.357143
3,6,280,29,282,2,42,0,18,0.571429
26,29,0,18,21,3,42,282,2,0.547619
6,18,282,2,2269,26,42,21,3,0.404762
2,2,21,3,3389,6,42,2269,26,0.380952
6,3,2269,26,7,2,42,3389,6,0.52381
14,26,3389,6,26422,6,42,7,2,0.452381
6,6,7,2,26,14,42,26422,6,0.428571
14,2,26422,6,0,6,42,26,14,0.47619
11,6,26,14,26,14,42,0,6,0.5
2,14,0,6,4383,11,42,26,14,0.595238
37,6,26,14,23,2,42,4383,11,0.761905
12,14,4383,11,316,37,42,23,2,0.738095
15,11,23,2,10219,12,42,316,37,0.619048
26,2,316,37,73,15,42,10219,12,0.714286
12,37,10219,12,171,26,42,73,15,0.642857
14,12,73,15,6098,12,42,171,26,0.666667
4,15,171,26,26,14,42,6098,12,0.690476
4,26,6098,12,2852,4,42,26,14,0.928571
17,12,26,14,0,4,42,2852,4,0.880952
20,14,2852,4,51,17,42,0,4,0.904762
47,4,0,4,43,20,42,51,17,1
49,4,51,17,44373,47,42,43,20,0.97619
21,48,1,1,55,4,52,9,3,0.019231
5,1,9,3,317,21,52,55,4,0.057692
2,3,55,4,227,5,52,317,21,0.038462
3,4,317,21,7,2,52,227,5,1
26,21,227,5,21,3,52,7,2,0.153846
11,5,7,2,637,26,52,21,3,0.115385
12,2,21,3,8185,11,52,637,26,0.096154
32,3,637,26,3876,12,52,8185,11,0.076923
21,26,8185,11,169,32,52,3876,12,0.134615
18,11,3876,12,581,21,52,169,32,0.211538
25,12,169,32,107,18,52,581,21,0.192308
3,32,581,21,321,25,52,107,18,0.173077
33,21,107,18,94,3,52,321,25,0.596154
6,18,321,25,1715,33,52,94,3,0.25
2,25,94,3,2457,6,52,1715,33,0.230769
6,3,1715,33,7,2,52,2457,6,0.576923
2,33,2457,6,12436,6,52,7,2,0.557692
3,6,7,2,80,2,52,12436,6,0.538462
26,2,12436,6,21,3,52,80,2,0.519231
14,6,80,2,3702,26,52,21,3,0.326923
26,2,21,3,26,14,52,3702,26,0.307692
12,3,3702,26,0,26,52,26,14,0.288462
26,26,26,14,15487,12,52,0,26,0.269231
2,14,0,26,345,26,52,15487,12,0.5
6,26,15487,12,149,2,52,345,26,0.346154
32,12,345,26,0,6,52,149,2,0.384615
13,26,149,2,169,32,52,0,6,0.365385
11,2,0,6,121,13,52,169,32,0.423077
2,6,169,32,17971,11,52,121,13,0.403846
12,32,121,13,149,2,52,17971,11,0.480769
14,13,17971,11,0,12,52,149,2,0.461538
28,11,149,2,26,14,52,0,12,0.442308
19,2,0,12,250,28,52,26,14,0.615385
4,12,26,14,40,19,52,250,28,0.961538
4,14,250,28,13995,4,52,40,19,0.942308
4,28,40,19,2856,4,52,13995,4,0.653846
14,19,13995,4,0,4,52,2856,4,0.634615
3,4,2856,4,26,14,52,0,4,0.923077
